Closing Date,City,SP,SqFt,Sale $/SqFt,Age
1/5/2016,DANVILLE,"$1,035,000 ",1938,$534 ,42
12/13/2016,DANVILLE,"$981,000 ",2292,$428 ,23
8/9/2016,DANVILLE,"$975,000 ",2111,$462 ,18
11/15/2016,DANVILLE,"$879,000 ",1545,$569 ,60
2/18/2016,DANVILLE,"$980,000 ",2308,$425 ,49
8/11/2016,DANVILLE,"$1,000,000 ",1770,$565 ,40
4/29/2016,DANVILLE,"$1,100,000 ",2037,$540 ,26
6/17/2016,DANVILLE,"$970,000 ",2228,$435 ,21
2/23/2016,DANVILLE,"$995,000 ",1812,$549 ,17
11/8/2016,DANVILLE,"$960,000 ",2038,$471 ,46
8/30/2016,DANVILLE,"$1,005,000 ",2311,$435 ,18
4/6/2016,DANVILLE,"$1,050,000 ",2255,$466 ,23
12/22/2016,DANVILLE,"$1,015,000 ",2482,$409 ,46
8/25/2016,DANVILLE,"$979,000 ",2059,$475 ,21
6/28/2016,DANVILLE,"$960,000 ",1800,$533 ,67
6/15/2016,DANVILLE,"$1,000,000 ",2457,$407 ,15
3/18/2016,DANVILLE,"$1,000,000 ",2027,$493 ,52
9/12/2016,DANVILLE,"$975,000 ",2553,$382 ,9
5/12/2016,DANVILLE,"$998,000 ",2336,$427 ,65
1/5/2016,DANVILLE,"$1,070,000 ",1129,$948 ,66
7/7/2016,DANVILLE,"$1,035,000 ",1860,$556 ,24
11/21/2016,DANVILLE,"$1,030,000 ",2029,$508 ,50
10/14/2016,DANVILLE,"$1,050,000 ",2287,$459 ,60
7/1/2016,DANVILLE,"$1,050,000 ",1775,$592 ,40
10/21/2016,DANVILLE,"$925,000 ",2387,$388 ,44
8/26/2016,DANVILLE,"$1,055,000 ",1943,$543 ,51
6/23/2016,DANVILLE,"$945,750 ",2302,$411 ,43
2/5/2016,DANVILLE,"$999,000 ",1932,$517 ,17
9/1/2016,DANVILLE,"$980,000 ",2197,$446 ,37
2/9/2016,DANVILLE,"$1,050,000 ",1860,$565 ,25
6/27/2016,DANVILLE,"$1,100,000 ",1373,$801 ,59
2/29/2016,DANVILLE,"$993,888 ",1858,$535 ,44
5/11/2016,DANVILLE,"$1,075,000 ",2488,$432 ,27
12/8/2016,DANVILLE,"$955,000 ",1569,$609 ,57
4/29/2016,DANVILLE,"$987,500 ",2311,$427 ,17
12/9/2016,DANVILLE,"$950,000 ",2501,$380 ,24
8/26/2016,DANVILLE,"$1,000,000 ",2088,$479 ,44
6/1/2016,DANVILLE,"$1,012,500 ",2553,$397 ,10
12/16/2016,DANVILLE,"$1,015,000 ",2292,$443 ,22
7/8/2016,DANVILLE,"$1,025,000 ",1700,$603 ,56
8/24/2016,DANVILLE,"$1,000,000 ",2226,$449 ,47
6/6/2016,DANVILLE,"$1,060,000 ",1655,$640 ,46
5/11/2016,DANVILLE,"$1,008,000 ",2952,$341 ,41
4/15/2016,DANVILLE,"$1,080,000 ",2037,$530 ,26
3/31/2016,DANVILLE,"$1,051,000 ",2255,$466 ,22
10/7/2016,DANVILLE,"$1,038,500 ",2265,$458 ,50
6/16/2016,DANVILLE,"$1,061,500 ",2137,$497 ,39
9/29/2016,DANVILLE,"$1,020,000 ",1848,$552 ,54
6/6/2016,DANVILLE,"$1,046,000 ",2501,$418 ,23
9/29/2016,DANVILLE,"$1,029,000 ",2241,$459 ,24
6/17/2016,DANVILLE,"$1,025,000 ",1772,$578 ,41
8/26/2016,DANVILLE,"$1,065,000 ",2893,$368 ,17
12/23/2016,DANVILLE,"$1,020,000 ",3237,$315 ,26
9/30/2016,DANVILLE,"$1,035,000 ",2685,$385 ,26
7/27/2016,DANVILLE,"$1,100,000 ",2170,$507 ,40
3/29/2016,DANVILLE,"$1,070,000 ",2044,$523 ,24
7/29/2016,DANVILLE,"$1,079,000 ",2896,$373 ,27
11/17/2016,DANVILLE,"$1,115,000 ",1772,$629 ,41
6/17/2016,DANVILLE,"$1,110,000 ",2436,$456 ,43
7/6/2016,DANVILLE,"$1,060,000 ",2302,$460 ,41
6/23/2016,DANVILLE,"$1,050,000 ",2501,$420 ,23
3/3/2016,DANVILLE,"$1,095,000 ",2528,$433 ,20
10/14/2016,DANVILLE,"$1,045,000 ",2304,$454 ,23
