Closing Date,City,SP,SqFt,Sale $/SqFt,Age
7/15/2016,FREMONT,"$610,000 ",1148,$531 ,58
8/12/2016,FREMONT,"$640,000 ",925,$692 ,60
7/8/2016,FREMONT,"$651,000 ",1000,$651 ,58
9/23/2016,FREMONT,"$705,000 ",950,$742 ,59
1/29/2016,FREMONT,"$628,000 ",,,108
6/8/2016,FREMONT,"$695,000 ",1347,$516 ,53
7/13/2016,FREMONT,"$650,000 ",1157,$562 ,63
10/14/2016,FREMONT,"$670,000 ",1390,$482 ,55
4/29/2016,FREMONT,"$755,000 ",1284,$588 ,74
7/21/2016,FREMONT,"$675,000 ",1392,$485 ,39
11/4/2016,FREMONT,"$650,000 ",1097,$593 ,52
1/29/2016,FREMONT,"$665,000 ",1080,$616 ,56
1/13/2016,FREMONT,"$659,000 ",1179,$559 ,1
4/11/2016,FREMONT,"$712,000 ",1179,$604 ,62
6/6/2016,FREMONT,"$650,000 ",1423,$457 ,61
11/23/2016,FREMONT,"$660,000 ",1036,$637 ,57
3/21/2016,FREMONT,"$675,500 ",1717,$393 ,55
11/4/2016,FREMONT,"$685,000 ",1074,$638 ,63
3/14/2016,FREMONT,"$694,000 ",925,$750 ,61
3/31/2016,FREMONT,"$741,000 ",1067,$694 ,53
9/6/2016,FREMONT,"$723,000 ",1036,$698 ,70
6/17/2016,FREMONT,"$662,500 ",1166,$568 ,63
9/23/2016,FREMONT,"$670,000 ",1204,$556 ,54
12/15/2016,FREMONT,"$700,700 ",1148,$610 ,55
4/28/2016,FREMONT,"$684,888 ",1324,$517 ,53
7/1/2016,FREMONT,"$703,000 ",1361,$517 ,61
8/19/2016,FREMONT,"$650,000 ",1148,$566 ,46
4/8/2016,FREMONT,"$685,000 ",1008,$680 ,54
10/21/2016,FREMONT,"$670,000 ",1078,$622 ,53
10/26/2016,FREMONT,"$685,000 ",1256,$545 ,50
6/30/2016,FREMONT,"$687,000 ",1402,$490 ,54
4/20/2016,FREMONT,"$720,000 ",1075,$670 ,65
4/5/2016,FREMONT,"$708,000 ",1150,$616 ,60
10/12/2016,FREMONT,"$730,000 ",1651,$442 ,47
1/29/2016,FREMONT,"$925,000 ",1916,$483 ,51
6/21/2016,FREMONT,"$695,000 ",1378,$504 ,61
5/10/2016,FREMONT,"$750,000 ",1269,$591 ,53
4/28/2016,FREMONT,"$750,000 ",1151,$652 ,58
10/15/2016,FREMONT,"$694,000 ",1148,$605 ,46
10/4/2016,FREMONT,"$770,000 ",1150,$670 ,57
9/21/2016,FREMONT,"$690,000 ",1112,$621 ,62
4/19/2016,FREMONT,"$740,000 ",1338,$553 ,61
11/15/2016,FREMONT,"$705,000 ",1078,$654 ,53
8/31/2016,FREMONT,"$700,000 ",1158,$604 ,56
10/24/2016,FREMONT,"$730,000 ",1120,$652 ,61
11/30/2016,FREMONT,"$699,000 ",1148,$609 ,55
1/25/2016,FREMONT,"$670,000 ",1056,$634 ,56
6/10/2016,FREMONT,"$718,000 ",1306,$550 ,43
11/4/2016,FREMONT,"$690,000 ",1231,$561 ,9
8/23/2016,FREMONT,"$750,000 ",1150,$652 ,57
4/8/2016,FREMONT,"$750,000 ",1117,$671 ,22
6/28/2016,FREMONT,"$687,500 ",1145,$600 ,64
5/13/2016,FREMONT,"$780,000 ",1150,$678 ,58
1/6/2016,FREMONT,"$715,000 ",1110,$644 ,59
7/29/2016,FREMONT,"$775,000 ",1080,$718 ,56
12/16/2016,FREMONT,"$810,000 ",1308,$619 ,57
7/8/2016,FREMONT,"$697,000 ",1150,$606 ,58
6/30/2016,FREMONT,"$795,000 ",1148,$693 ,55
9/9/2016,FREMONT,"$665,000 ",1120,$594 ,45
3/18/2016,FREMONT,"$765,000 ",1148,$666 ,56
7/29/2016,FREMONT,"$675,000 ",1000,$675 ,58
1/22/2016,FREMONT,"$728,000 ",1120,$650 ,61
11/23/2016,FREMONT,"$680,000 ",1485,$458 ,64
5/27/2016,FREMONT,"$710,000 ",1163,$610 ,61
10/25/2016,FREMONT,"$761,000 ",804,$947 ,95
8/4/2016,FREMONT,"$700,000 ",1175,$596 ,75
5/24/2016,FREMONT,"$720,000 ",996,$723 ,56
11/16/2016,FREMONT,"$702,500 ",1150,$611 ,58
8/26/2016,FREMONT,"$690,000 ",1148,$601 ,56
4/26/2016,FREMONT,"$765,000 ",1395,$548 ,59
12/21/2016,FREMONT,"$715,000 ",1167,$613 ,61
7/22/2016,FREMONT,"$770,000 ",1315,$586 ,26
3/2/2016,FREMONT,"$772,051 ",1374,$562 ,54
10/21/2016,FREMONT,"$720,000 ",1629,$442 ,45
7/27/2016,FREMONT,"$720,000 ",1200,$600 ,64
11/4/2016,FREMONT,"$721,000 ",1427,$505 ,54
5/31/2016,FREMONT,"$718,000 ",1171,$613 ,56
11/23/2016,FREMONT,"$725,000 ",1148,$632 ,57
9/2/2016,FREMONT,"$710,000 ",1132,$627 ,57
3/25/2016,FREMONT,"$735,000 ",1140,$645 ,57
11/30/2016,FREMONT,"$729,000 ",,,55
7/22/2016,FREMONT,"$720,000 ",915,$787 ,111
8/26/2016,FREMONT,"$700,000 ",1249,$560 ,53
6/22/2016,FREMONT,"$757,000 ",1474,$514 ,61
8/8/2016,FREMONT,"$714,300 ",1347,$530 ,53
11/4/2016,FREMONT,"$708,000 ",1269,$558 ,54
6/13/2016,FREMONT,"$730,000 ",1265,$577 ,55
12/29/2016,FREMONT,"$700,000 ",1164,$601 ,63
5/27/2016,FREMONT,"$713,000 ",1036,$688 ,56
2/24/2016,FREMONT,"$709,000 ",,,42
12/9/2016,FREMONT,"$725,000 ",996,$728 ,56
10/12/2016,FREMONT,"$705,000 ",1167,$604 ,61
6/10/2016,FREMONT,"$765,000 ",1131,$676 ,54
5/4/2016,FREMONT,"$825,000 ",1500,$550 ,55
2/29/2016,FREMONT,"$720,000 ",1112,$647 ,62
2/19/2016,FREMONT,"$707,000 ",1163,$608 ,57
8/31/2016,FREMONT,"$715,000 ",1780,$402 ,61
7/29/2016,FREMONT,"$748,239 ",1120,$668 ,61
8/8/2016,FREMONT,"$720,000 ",1163,$619 ,61
6/30/2016,FREMONT,"$725,000 ",1000,$725 ,61
5/13/2016,FREMONT,"$806,000 ",1302,$619 ,56
1/22/2016,FREMONT,"$740,800 ",1579,$469 ,55
8/4/2016,FREMONT,"$734,000 ",1324,$554 ,54
10/28/2016,FREMONT,"$695,000 ",1592,$437 ,68
11/30/2016,FREMONT,"$726,000 ",1302,$558 ,58
9/2/2016,FREMONT,"$730,000 ",1581,$462 ,53
8/24/2016,FREMONT,"$725,000 ",881,$823 ,28
8/18/2016,FREMONT,"$746,000 ",1232,$606 ,50
6/20/2016,FREMONT,"$760,000 ",1148,$662 ,59
9/2/2016,FREMONT,"$725,000 ",1744,$416 ,53
4/15/2016,FREMONT,"$765,000 ",1250,$612 ,91
8/2/2016,FREMONT,"$750,000 ",1150,$652 ,57
3/22/2016,FREMONT,"$767,000 ",1148,$668 ,56
4/1/2016,FREMONT,"$795,500 ",1148,$693 ,56
1/15/2016,FREMONT,"$740,000 ",1070,$692 ,102
3/22/2016,FREMONT,"$705,000 ",1119,$630 ,62
6/7/2016,FREMONT,"$750,800 ",1214,$618 ,62
4/5/2016,FREMONT,"$780,000 ",1110,$703 ,61
11/10/2016,FREMONT,"$766,000 ",1500,$511 ,61
5/24/2016,FREMONT,"$730,000 ",1314,$556 ,48
5/13/2016,FREMONT,"$766,300 ",1112,$689 ,62
4/29/2016,FREMONT,"$782,000 ",1581,$495 ,54
1/15/2016,FREMONT,"$774,200 ",1298,$596 ,40
8/17/2016,FREMONT,"$765,000 ",1200,$638 ,58
10/28/2016,FREMONT,"$765,000 ",1305,$586 ,46
12/13/2016,FREMONT,"$740,000 ",1168,$634 ,61
6/7/2016,FREMONT,"$740,000 ",1204,$615 ,54
9/26/2016,FREMONT,"$739,000 ",1171,$631 ,56
9/2/2016,FREMONT,"$750,000 ",2135,$351 ,54
10/12/2016,FREMONT,"$739,000 ",1120,$660 ,61
3/25/2016,FREMONT,"$810,000 ",1324,$612 ,62
3/31/2016,FREMONT,"$813,000 ",1151,$706 ,58
9/22/2016,FREMONT,"$750,000 ",1308,$573 ,56
3/31/2016,FREMONT,"$763,000 ",1214,$629 ,62
5/26/2016,FREMONT,"$765,000 ",1302,$588 ,56
4/25/2016,FREMONT,"$802,000 ",1526,$526 ,55
2/4/2016,FREMONT,"$778,000 ",1581,$492 ,53
9/13/2016,FREMONT,"$761,111 ",1158,$657 ,54
5/19/2016,FREMONT,"$820,000 ",1466,$559 ,54
3/18/2016,FREMONT,"$737,750 ",1056,$699 ,58
6/6/2016,FREMONT,"$820,008 ",1368,$599 ,50
10/14/2016,FREMONT,"$775,000 ",1248,$621 ,58
12/16/2016,FREMONT,"$815,200 ",1204,$677 ,53
6/5/2016,FREMONT,"$712,000 ",1116,$638 ,43
4/13/2016,FREMONT,"$788,000 ",1376,$573 ,56
4/12/2016,FREMONT,"$832,000 ",1428,$583 ,56
5/24/2016,FREMONT,"$838,000 ",1420,$590 ,57
7/22/2016,FREMONT,"$765,000 ",1581,$484 ,54
6/1/2016,FREMONT,"$730,888 ",1402,$521 ,54
2/26/2016,FREMONT,"$920,000 ",1010,$911 ,47
4/20/2016,FREMONT,"$760,000 ",1204,$631 ,53
6/16/2016,FREMONT,"$735,000 ",1396,$527 ,57
11/17/2016,FREMONT,"$749,000 ",1544,$485 ,56
9/28/2016,FREMONT,"$775,000 ",1412,$549 ,58
10/21/2016,FREMONT,"$735,000 ",1225,$600 ,66
8/30/2016,FREMONT,"$795,000 ",1347,$590 ,53
3/16/2016,FREMONT,"$775,000 ",1445,$536 ,55
6/1/2016,FREMONT,"$770,000 ",1232,$625 ,50
10/4/2016,FREMONT,"$790,000 ",1302,$607 ,56
1/22/2016,FREMONT,"$785,000 ",1451,$541 ,67
6/10/2016,FREMONT,"$795,000 ",1256,$633 ,50
8/3/2016,FREMONT,"$750,000 ",1445,$519 ,59
3/24/2016,FREMONT,"$850,000 ",,,54
3/29/2016,FREMONT,"$891,000 ",1767,$504 ,54
3/31/2016,FREMONT,"$800,000 ",1324,$604 ,54
6/24/2016,FREMONT,"$876,000 ",1040,$842 ,44
12/21/2016,FREMONT,"$760,000 ",1360,$559 ,47
8/5/2016,FREMONT,"$780,000 ",1242,$628 ,56
7/8/2016,FREMONT,"$870,000 ",1581,$550 ,54
4/8/2016,FREMONT,"$745,000 ",1296,$575 ,65
3/31/2016,FREMONT,"$820,000 ",1556,$527 ,53
2/1/2016,FREMONT,"$750,000 ",1610,$466 ,56
8/24/2016,FREMONT,"$780,000 ",1453,$537 ,40
10/21/2016,FREMONT,"$750,000 ",1290,$581 ,48
6/28/2016,FREMONT,"$762,000 ",1552,$491 ,55
10/31/2016,FREMONT,"$733,000 ",1300,$564 ,62
6/29/2016,FREMONT,"$720,000 ",,,96
8/24/2016,FREMONT,"$784,000 ",1448,$541 ,55
5/6/2016,FREMONT,"$790,000 ",1581,$500 ,61
5/24/2016,FREMONT,"$780,000 ",1268,$615 ,40
8/17/2016,FREMONT,"$758,000 ",1148,$660 ,58
11/2/2016,FREMONT,"$765,000 ",1406,$544 ,54
6/30/2016,FREMONT,"$873,000 ",1180,$740 ,56
7/27/2016,FREMONT,"$765,000 ",982,$779 ,91
4/15/2016,FREMONT,"$810,000 ",1556,$521 ,53
5/5/2016,FREMONT,"$702,200 ",1240,$566 ,55
5/17/2016,FREMONT,"$790,000 ",1576,$501 ,56
4/7/2016,FREMONT,"$814,000 ",1430,$569 ,39
5/27/2016,FREMONT,"$783,000 ",1575,$497 ,66
6/28/2016,FREMONT,"$801,000 ",1232,$650 ,50
9/20/2016,FREMONT,"$762,000 ",1409,$541 ,40
11/4/2016,FREMONT,"$845,000 ",1240,$681 ,51
2/18/2016,FREMONT,"$815,000 ",1644,$496 ,4
2/18/2016,FREMONT,"$780,000 ",,,29
12/14/2016,FREMONT,"$770,000 ",1200,$642 ,54
9/23/2016,FREMONT,"$741,500 ",1438,$516 ,62
3/16/2016,FREMONT,"$780,000 ",1310,$595 ,91
12/5/2016,FREMONT,"$780,000 ",1356,$575 ,56
5/12/2016,FREMONT,"$825,000 ",1330,$620 ,62
8/15/2016,FREMONT,"$789,000 ",1204,$655 ,52
8/4/2016,FREMONT,"$750,000 ",1352,$555 ,89
11/17/2016,FREMONT,"$810,000 ",1308,$619 ,57
6/28/2016,FREMONT,"$728,000 ",1320,$552 ,56
7/15/2016,FREMONT,"$830,000 ",1500,$553 ,56
8/25/2016,FREMONT,"$760,000 ",1306,$582 ,49
7/15/2016,FREMONT,"$830,000 ",1187,$699 ,31
9/8/2016,FREMONT,"$772,000 ",1974,$391 ,57
10/21/2016,FREMONT,"$770,000 ",1522,$506 ,46
9/20/2016,FREMONT,"$822,000 ",1387,$593 ,51
10/31/2016,FREMONT,"$805,000 ",1744,$462 ,53
7/8/2016,FREMONT,"$820,000 ",1056,$777 ,59
3/1/2016,FREMONT,"$755,000 ",1493,$506 ,55
6/6/2016,FREMONT,"$770,000 ",1466,$525 ,54
11/17/2016,FREMONT,"$772,500 ",1589,$486 ,59
12/16/2016,FREMONT,"$935,000 ",2326,$402 ,51
12/9/2016,FREMONT,"$785,000 ",1481,$530 ,30
9/30/2016,FREMONT,"$775,000 ",1404,$552 ,55
11/23/2016,FREMONT,"$855,000 ",1571,$544 ,54
7/12/2016,FREMONT,"$800,000 ",1696,$472 ,55
7/27/2016,FREMONT,"$775,000 ",1844,$420 ,58
11/15/2016,FREMONT,"$783,000 ",1400,$559 ,47
7/22/2016,FREMONT,"$700,000 ",1600,$438 ,62
5/6/2016,FREMONT,"$830,000 ",1448,$573 ,55
3/15/2016,FREMONT,"$900,000 ",1632,$551 ,55
12/15/2016,FREMONT,"$835,000 ",1817,$460 ,61
1/15/2016,FREMONT,"$803,000 ",1537,$522 ,19
4/4/2016,FREMONT,"$780,000 ",1080,$722 ,58
3/7/2016,FREMONT,"$832,500 ",1296,$642 ,58
9/9/2016,FREMONT,"$799,500 ",1712,$467 ,4
9/20/2016,FREMONT,"$790,000 ",1448,$546 ,59
10/31/2016,FREMONT,"$830,000 ",1556,$533 ,54
7/1/2016,FREMONT,"$815,800 ",1451,$562 ,62
7/22/2016,FREMONT,"$846,000 ",1387,$610 ,19
8/19/2016,FREMONT,"$855,000 ",1556,$549 ,53
9/9/2016,FREMONT,"$825,000 ",1481,$557 ,57
3/24/2016,FREMONT,"$854,000 ",1680,$508 ,53
10/14/2016,FREMONT,"$790,000 ",1559,$507 ,53
6/17/2016,FREMONT,"$760,000 ",1734,$438 ,62
5/17/2016,FREMONT,"$725,000 ",1696,$427 ,55
2/1/2016,FREMONT,"$780,000 ",1056,$739 ,58
1/15/2016,FREMONT,"$815,000 ",1170,$697 ,58
9/26/2016,FREMONT,"$825,000 ",1107,$745 ,58
12/13/2016,FREMONT,"$755,000 ",1480,$510 ,62
12/30/2016,FREMONT,"$822,000 ",1171,$702 ,57
8/30/2016,FREMONT,"$825,000 ",1112,$742 ,62
4/12/2016,FREMONT,"$840,000 ",1567,$536 ,58
2/18/2016,FREMONT,"$900,000 ",1387,$649 ,50
4/29/2016,FREMONT,"$798,000 ",1347,$592 ,54
7/8/2016,FREMONT,"$852,000 ",1712,$498 ,3
12/14/2016,FREMONT,"$807,000 ",1324,$610 ,53
11/4/2016,FREMONT,"$925,000 ",1811,$511 ,50
2/10/2016,FREMONT,"$835,000 ",2570,$325 ,33
10/25/2016,FREMONT,"$785,000 ",1651,$475 ,45
8/31/2016,FREMONT,"$799,000 ",1712,$467 ,2
5/5/2016,FREMONT,"$821,000 ",1265,$649 ,54
2/10/2016,FREMONT,"$865,000 ",1290,$671 ,48
7/25/2016,FREMONT,"$805,000 ",1585,$508 ,55
11/23/2016,FREMONT,"$881,000 ",1588,$555 ,52
10/24/2016,FREMONT,"$857,500 ",1320,$650 ,56
1/29/2016,FREMONT,"$820,000 ",1402,$585 ,44
10/28/2016,FREMONT,"$785,000 ",1090,$720 ,39
12/29/2016,FREMONT,"$926,000 ",1674,$553 ,104
8/22/2016,FREMONT,"$850,000 ",1316,$646 ,36
8/22/2016,FREMONT,"$850,000 ",1696,$501 ,55
1/7/2016,FREMONT,"$870,000 ",1460,$596 ,40
8/16/2016,FREMONT,"$775,000 ",1329,$583 ,60
5/13/2016,FREMONT,"$775,000 ",1340,$578 ,60
8/2/2016,FREMONT,"$835,000 ",1584,$527 ,53
5/25/2016,FREMONT,"$880,000 ",1456,$604 ,55
9/20/2016,FREMONT,"$780,000 ",1551,$503 ,54
11/23/2016,FREMONT,"$800,000 ",,,61
7/6/2016,FREMONT,"$800,000 ",1549,$516 ,62
10/11/2016,FREMONT,"$823,000 ",1712,$481 ,2
2/9/2016,FREMONT,"$860,000 ",1376,$625 ,40
10/26/2016,FREMONT,"$830,000 ",1387,$598 ,19
7/26/2016,FREMONT,"$875,000 ",1712,$511 ,2
4/7/2016,FREMONT,"$799,000 ",1913,$418 ,53
11/14/2016,FREMONT,"$888,786 ",2073,$429 ,39
7/26/2016,FREMONT,"$850,000 ",1689,$503 ,68
11/1/2016,FREMONT,"$810,000 ",1394,$581 ,31
8/8/2016,FREMONT,"$809,997 ",1712,$473 ,2
5/31/2016,FREMONT,"$864,000 ",1537,$562 ,19
12/2/2016,FREMONT,"$790,000 ",1755,$450 ,53
2/11/2016,FREMONT,"$836,000 ",1712,$488 ,3
3/18/2016,FREMONT,"$870,000 ",1537,$566 ,19
2/16/2016,FREMONT,"$861,000 ",1537,$560 ,19
6/15/2016,FREMONT,"$780,000 ",1344,$580 ,51
8/9/2016,FREMONT,"$850,000 ",1251,$679 ,57
11/18/2016,FREMONT,"$810,000 ",1651,$491 ,47
5/27/2016,FREMONT,"$850,000 ",1286,$661 ,53
8/5/2016,FREMONT,"$808,000 ",1380,$586 ,52
6/27/2016,FREMONT,"$844,000 ",1320,$639 ,56
1/8/2016,FREMONT,"$798,000 ",1588,$503 ,53
5/26/2016,FREMONT,"$920,700 ",1593,$578 ,52
8/30/2016,FREMONT,"$800,000 ",1358,$589 ,57
3/31/2016,FREMONT,"$880,000 ",1496,$588 ,39
9/8/2016,FREMONT,"$823,500 ",1409,$584 ,38
3/28/2016,FREMONT,"$930,000 ",1606,$579 ,63
4/6/2016,FREMONT,"$840,000 ",1291,$651 ,39
12/2/2016,FREMONT,"$825,000 ",1296,$637 ,55
12/21/2016,FREMONT,"$799,000 ",,,47
10/11/2016,FREMONT,"$840,000 ",1376,$610 ,27
3/27/2016,FREMONT,"$950,000 ",1453,$654 ,39
10/3/2016,FREMONT,"$790,000 ",1651,$478 ,61
10/24/2016,FREMONT,"$813,500 ",1232,$660 ,50
10/28/2016,FREMONT,"$790,000 ",1067,$740 ,54
3/31/2016,FREMONT,"$795,000 ",1508,$527 ,62
10/28/2016,FREMONT,"$801,000 ",1153,$695 ,53
3/22/2016,FREMONT,"$850,000 ",1376,$618 ,39
1/5/2016,FREMONT,"$875,000 ",1633,$536 ,39
4/21/2016,FREMONT,"$815,000 ",1248,$653 ,57
9/23/2016,FREMONT,"$835,000 ",1347,$620 ,54
7/29/2016,FREMONT,"$830,000 ",1556,$533 ,54
7/29/2016,FREMONT,"$867,000 ",1552,$559 ,55
4/4/2016,FREMONT,"$805,000 ",1527,$527 ,57
8/1/2016,FREMONT,"$850,000 ",1324,$642 ,55
9/23/2016,FREMONT,"$818,000 ",1268,$645 ,57
12/30/2016,FREMONT,"$800,000 ",1314,$609 ,57
12/22/2016,FREMONT,"$825,000 ",1112,$742 ,62
8/11/2016,FREMONT,"$819,000 ",1384,$592 ,27
6/1/2016,FREMONT,"$819,000 ",1474,$556 ,29
8/9/2016,FREMONT,"$810,000 ",1314,$616 ,56
12/28/2016,FREMONT,"$810,000 ",1324,$612 ,53
2/17/2016,FREMONT,"$950,000 ",1232,$771 ,50
5/19/2016,FREMONT,"$840,000 ",1587,$529 ,53
5/31/2016,FREMONT,"$894,000 ",1604,$557 ,55
10/24/2016,FREMONT,"$826,000 ",1148,$720 ,59
6/2/2016,FREMONT,"$870,000 ",1629,$534 ,45
12/1/2016,FREMONT,"$824,000 ",1344,$613 ,55
2/11/2016,FREMONT,"$950,000 ",1980,$480 ,44
2/26/2016,FREMONT,"$810,000 ",1664,$487 ,28
12/16/2016,FREMONT,"$810,000 ",1594,$508 ,58
11/22/2016,FREMONT,"$845,000 ",1564,$540 ,54
1/7/2016,FREMONT,"$789,950 ",1387,$570 ,50
4/21/2016,FREMONT,"$920,000 ",1100,$836 ,37
3/15/2016,FREMONT,"$882,000 ",1335,$661 ,38
6/14/2016,FREMONT,"$780,000 ",1557,$501 ,52
6/16/2016,FREMONT,"$892,000 ",1320,$676 ,57
5/10/2016,FREMONT,"$880,000 ",2020,$436 ,58
4/29/2016,FREMONT,"$886,000 ",1384,$640 ,27
10/6/2016,FREMONT,"$873,000 ",1797,$486 ,51
12/8/2016,FREMONT,"$780,000 ",1923,$406 ,53
8/26/2016,FREMONT,"$900,000 ",1736,$518 ,55
6/7/2016,FREMONT,"$815,000 ",1995,$409 ,56
6/30/2016,FREMONT,"$840,000 ",1735,$484 ,56
7/7/2016,FREMONT,"$829,000 ",1467,$565 ,28
4/13/2016,FREMONT,"$830,000 ",1666,$498 ,31
7/19/2016,FREMONT,"$850,000 ",,,40
5/5/2016,FREMONT,"$850,000 ",1240,$685 ,51
11/23/2016,FREMONT,"$810,000 ",1256,$645 ,49
1/8/2016,FREMONT,"$830,000 ",1372,$605 ,44
11/9/2016,FREMONT,"$877,500 ",1343,$653 ,58
3/23/2016,FREMONT,"$850,000 ",1714,$496 ,50
5/2/2016,FREMONT,"$940,000 ",1498,$628 ,61
4/12/2016,FREMONT,"$853,000 ",1644,$519 ,3
5/20/2016,FREMONT,"$911,257 ",1852,$492 ,54
8/26/2016,FREMONT,"$900,000 ",1104,$815 ,61
9/16/2016,FREMONT,"$891,000 ",1513,$589 ,54
6/14/2016,FREMONT,"$916,000 ",1370,$669 ,27
9/16/2016,FREMONT,"$900,000 ",1402,$642 ,43
10/17/2016,FREMONT,"$825,000 ",,,29
7/7/2016,FREMONT,"$846,000 ",1712,$494 ,3
3/24/2016,FREMONT,"$861,000 ",1633,$527 ,40
7/26/2016,FREMONT,"$888,000 ",1251,$710 ,57
11/21/2016,FREMONT,"$790,000 ",1602,$493 ,54
10/28/2016,FREMONT,"$845,000 ",1484,$569 ,51
10/12/2016,FREMONT,"$825,000 ",1241,$665 ,32
3/29/2016,FREMONT,"$926,000 ",1740,$532 ,54
2/25/2016,FREMONT,"$860,000 ",1466,$587 ,57
1/20/2016,FREMONT,"$810,000 ",1305,$621 ,44
3/14/2016,FREMONT,"$845,000 ",2115,$400 ,59
4/27/2016,FREMONT,"$860,000 ",1324,$650 ,61
12/8/2016,FREMONT,"$845,000 ",1744,$485 ,53
5/17/2016,FREMONT,"$852,000 ",1387,$614 ,50
4/3/2016,FREMONT,"$960,000 ",1872,$513 ,66
3/31/2016,FREMONT,"$910,000 ",1503,$605 ,40
1/7/2016,FREMONT,"$920,000 ",1480,$622 ,44
5/9/2016,FREMONT,"$834,000 ",1736,$480 ,54
10/7/2016,FREMONT,"$870,000 ",1585,$549 ,52
9/21/2016,FREMONT,"$830,000 ",1744,$476 ,53
4/28/2016,FREMONT,"$930,000 ",1417,$656 ,43
6/17/2016,FREMONT,"$850,000 ",1296,$656 ,60
9/30/2016,FREMONT,"$885,000 ",1826,$485 ,54
5/18/2016,FREMONT,"$880,000 ",1474,$597 ,27
5/6/2016,FREMONT,"$903,000 ",1422,$635 ,22
11/30/2016,FREMONT,"$868,000 ",1838,$472 ,56
9/30/2016,FREMONT,"$945,000 ",1590,$594 ,61
4/8/2016,FREMONT,"$927,000 ",1656,$560 ,52
11/2/2016,FREMONT,"$830,000 ",1402,$592 ,54
6/22/2016,FREMONT,"$849,000 ",1504,$564 ,47
6/30/2016,FREMONT,"$870,000 ",1419,$613 ,59
4/7/2016,FREMONT,"$803,000 ",1736,$463 ,54
8/15/2016,FREMONT,"$880,000 ",1588,$554 ,53
12/20/2016,FREMONT,"$890,000 ",1727,$515 ,59
8/8/2016,FREMONT,"$912,000 ",1390,$656 ,45
4/15/2016,FREMONT,"$935,100 ",1455,$643 ,54
2/11/2016,FREMONT,"$892,500 ",1467,$608 ,40
10/19/2016,FREMONT,"$830,000 ",1484,$559 ,51
5/2/2016,FREMONT,"$910,000 ",1645,$553 ,51
7/26/2016,FREMONT,"$880,000 ",1376,$640 ,40
2/26/2016,FREMONT,"$884,000 ",1305,$677 ,46
12/29/2016,FREMONT,"$827,500 ",1961,$422 ,55
9/30/2016,FREMONT,"$900,000 ",1345,$669 ,54
8/24/2016,FREMONT,"$841,500 ",1476,$570 ,41
2/24/2016,FREMONT,"$972,000 ",1889,$515 ,38
9/29/2016,FREMONT,"$815,000 ",1400,$582 ,47
11/1/2016,FREMONT,"$860,000 ",1164,$739 ,52
4/11/2016,FREMONT,"$995,000 ",1740,$572 ,54
5/2/2016,FREMONT,"$855,000 ",1291,$662 ,39
6/30/2016,FREMONT,"$860,000 ",1273,$676 ,56
5/26/2016,FREMONT,"$933,200 ",1242,$751 ,52
7/12/2016,FREMONT,"$811,800 ",1324,$613 ,28
2/5/2016,FREMONT,"$910,000 ",1298,$701 ,53
4/21/2016,FREMONT,"$800,000 ",1136,$704 ,57
9/13/2016,FREMONT,"$891,000 ",1390,$641 ,48
3/24/2016,FREMONT,"$800,000 ",1325,$604 ,55
4/7/2016,FREMONT,"$910,000 ",1494,$609 ,31
11/23/2016,FREMONT,"$890,000 ",1581,$563 ,54
8/5/2016,FREMONT,"$860,000 ",1632,$527 ,55
5/3/2016,FREMONT,"$823,000 ",1232,$668 ,61
11/15/2016,FREMONT,"$850,000 ",1380,$616 ,32
12/23/2016,FREMONT,"$850,000 ",1604,$530 ,56
5/4/2016,FREMONT,"$935,000 ",1372,$681 ,32
9/30/2016,FREMONT,"$820,000 ",1056,$777 ,59
12/1/2016,FREMONT,"$830,000 ",1530,$542 ,39
8/9/2016,FREMONT,"$835,000 ",2217,$377 ,55
7/15/2016,FREMONT,"$890,000 ",1517,$587 ,44
6/10/2016,FREMONT,"$931,000 ",1466,$635 ,28
4/22/2016,FREMONT,"$900,000 ",1390,$647 ,46
10/17/2016,FREMONT,"$802,300 ",1910,$420 ,44
6/2/2016,FREMONT,"$844,000 ",1506,$560 ,45
6/2/2016,FREMONT,"$925,000 ",1248,$741 ,57
10/21/2016,FREMONT,"$913,500 ",1416,$645 ,27
12/12/2016,FREMONT,"$859,950 ",1854,$464 ,55
1/28/2016,FREMONT,"$925,000 ",1487,$622 ,30
11/17/2016,FREMONT,"$955,000 ",1390,$687 ,49
10/18/2016,FREMONT,"$866,000 ",1120,$773 ,45
10/6/2016,FREMONT,"$868,000 ",1636,$531 ,39
9/27/2016,FREMONT,"$830,000 ",1423,$583 ,29
7/12/2016,FREMONT,"$885,000 ",1372,$645 ,43
7/29/2016,FREMONT,"$900,000 ",1400,$643 ,55
4/29/2016,FREMONT,"$931,000 ",1576,$591 ,52
12/2/2016,FREMONT,"$840,000 ",1595,$527 ,61
11/4/2016,FREMONT,"$840,000 ",1574,$534 ,39
3/15/2016,FREMONT,"$885,000 ",1500,$590 ,43
4/28/2016,FREMONT,"$885,000 ",1324,$668 ,61
2/19/2016,FREMONT,"$902,000 ",2000,$451 ,8
3/1/2016,FREMONT,"$900,000 ",1309,$688 ,59
3/21/2016,FREMONT,"$930,000 ",1500,$620 ,63
8/19/2016,FREMONT,"$910,000 ",1402,$649 ,43
1/29/2016,FREMONT,"$940,000 ",1524,$617 ,13
3/9/2016,FREMONT,"$920,000 ",1917,$480 ,8
